iter	Passed	Remaining
491	44494	45941
492	44589	45855
493	44678	45763
494	44771	45676
495	44864	45588
496	44954	45497
497	45052	45414
498	45144	45325
499	45236	45236
500	45324	45143
501	45418	45056
502	45512	44969
503	45609	44885
504	45705	44800
505	45794	44708
506	45805	44540
507	45899	44453
508	45993	44367
509	46087	44279
510	46184	44196
511	46282	44113
512	46377	44027
513	46476	43944
514	46571	43858
515	46668	43774
516	46765	43690
517	46853	43597
518	46942	43505
519	47036	43418
520	47123	43324
521	47219	43239
522	47314	43152
523	47403	43060
524	47498	42975
525	47593	42888
526	47688	42802
527	47784	42716
528	47876	42627
529	47968	42537
530	48059	42448
531	48152	42359
532	48242	42269
533	48340	42184
534	48428	42091
535	48526	42008
536	48618	41918
537	48718	41836
538	48808	41745
539	48902	41657
540	48998	41571
541	49095	41487
542	49194	41402
543	49288	41314
544	49379	41224
545	49392	41069
546	49487	40983
547	49582	40896
548	49676	40809
549	49770	40721
550	49862	40632
551	49952	40540
552	50041	40449
553	50136	40362
554	50160	40218
555	50254	40131
556	50265	39977
557	50362	39893
558	50458	39807
559	50547	39715
560	50640	39627
561	50738	39543
562	50830	39454
563	50926	39368
564	51024	39284
565	51120	39198
566	51209	39107
567	51225	38960
568	51316	38870
569	51412	38785
570	51508	38698
571	51598	38608
572	51691	38520
573	51785	38433
574	51875	38342
575	51971	38256
576	52061	38166
577	52157	38080
578	52248	37990
579	52349	37908
580	52443	37820
581	52537	37733
582	52634	37647
583	52725	37557
584	52818	37469
585	52916	37384
586	53012	37298
587	53102	37208
588	53194	37118
589	53289	37031
590	53384	36944
591	53480	36858
592	53571	36768
593	53667	36681
594	53761	36594
595	53853	36504
596	53950	36419
597	54042	36329
598	54132	36238
599	54230	36153
600	54324	36065
601	54412	35973
602	54503	35883
603	54595	35794
604	54691	35707
605	54784	35618
606	54880	35532
607	54893	35391
608	54989	35305
609	55083	35217
610	55178	35130
611	55273	35042
612	55367	34954
613	55377	34813
614	55468	34724
615	55563	34637
616	55656	34548
617	55753	34462
618	55845	34373
619	55939	34285
620	56037	34200
621	56050	34062
622	56144	33975
623	56245	33891
624	56336	33801
625	56430	33714
626	56525	33626
627	56543	33493
628	56637	33406
629	56731	33318
630	56827	33232
631	56922	33144
632	57018	33058
633	57111	32969
634	57207	32883
635	57300	32794
636	57396	32707
637	57491	32620
638	57584	32532
639	57681	32445
640	57741	32338
641	57835	32250
642	57928	32162
643	58028	32077
644	58121	31989
645	58216	31902
646	58310	31813
647	58405	31726
648	58498	31637
649	58589	31548
650	58684	31460
651	58777	31371
652	58870	31283
653	58960	31193
654	59058	31107
655	59151	31018
656	59244	30929
657	59339	30841
658	59433	30753
659	59526	30665
660	59624	30578
661	59638	30449
662	59734	30362
663	59829	30275
664	59925	30188
665	60020	30100
666	60115	30012
667	60127	29883
668	60221	29795
669	60311	29705
670	60400	29614
671	60494	29527
672	60590	29440
673	60681	29350
674	60773	29261
675	60871	29175
676	60972	29090
677	61070	29003
678	61166	28916
679	61257	28826
680	61267	28699
681	61365	28613
682	61455	28523
683	61549	28435
684	61642	28346
685	61736	28258
686	61828	28169
687	61921	28080
688	62015	27992
689	62113	27906
690	62127	27781
691	62225	27695
692	62318	27607
693	62413	27519
694	62509	27432
695	62606	27345
696	62702	27258
697	62792	27168
698	62884	27079
699	62976	26990
700	63066	26900
701	63162	26812
702	63253	26722
703	63342	26632
704	63438	26545
705	63535	26457
706	63628	26369
707	63728	26283
708	63822	26195
709	63914	26105
710	63926	25984
711	64019	25895
712	64110	25806
713	64203	25717
714	64299	25629
715	64393	25541
716	64490	25454
717	64501	25333
718	64590	25243
719	64682	25154
720	64772	25064
721	64859	24973
722	64955	24886
723	65051	24798
724	65147	24711
725	65243	24623
726	65335	24534
727	65431	24446
728	65529	24359
729	65625	24272
730	65722	24185
731	65817	24097
732	65910	24008
733	66004	23919
734	66098	23831
735	66189	23741
736	66281	23652
737	66376	23564
738	66475	23477
739	66571	23390
740	66662	23300
741	66757	23212
742	66850	23123
743	66908	23022
744	67011	22936
745	67028	22822
746	67123	22733
747	67216	22645
748	67308	22556
749	67401	22467
750	67493	22377
751	67585	22288
752	67672	22197
753	67766	22109
754	67863	22021
755	67955	21932
756	68050	21844
757	68140	21754
758	68230	21664
759	68321	21575
760	68413	21486
761	68511	21398
762	68525	21284
763	68619	21196
764	68715	21108
765	68807	21019
766	68900	20930
767	68990	20840
768	69082	20751
769	69175	20662
770	69267	20573
771	69359	20484
772	69450	20394
773	69544	20306
774	69641	20218
775	69664	20109
776	69755	20019
777	69850	19931
778	69945	19843
779	70038	19754
780	70133	19666
781	70229	19578
782	70325	19489
783	70420	19401
784	70516	19313
785	70614	19225
786	70709	19137
787	70806	19049
788	70903	18961
789	71003	18874
790	71099	18786
791	71192	18696
792	71205	18586
793	71215	18476
794	71307	18387
795	71402	18299
796	71438	18195
797	71532	18107
798	71633	18020
799	71730	17932
800	71824	17843
801	71915	17754
802	71938	17648
803	72032	17560
804	72126	17471
805	72222	17383
806	72258	17281
807	72356	17193
808	72449	17104
809	72548	17017
810	72641	16928
811	72731	16839
812	72827	16751
813	72919	16662
814	73017	16574
815	73115	16486
816	73211	16398
817	73302	16309
818	73400	16221
819	73493	16132
820	73591	16044
821	73689	15957
822	73784	15868
823	73885	15781
824	73982	15693
825	74074	15604
826	74173	15516
827	74266	15427
828	74366	15339
829	74467	15252
830	74566	15164
831	74576	15058
832	74674	14970
833	74766	14881
834	74864	14793
835	74963	14705
836	75061	14617
837	75158	14529
838	75257	14441
839	75355	14353
