iter	Logloss
0	0.571121135
1	0.4798808517
2	0.4132153987
3	0.364144496
4	0.3235583179
5	0.2960499396
6	0.2762891318
7	0.2627647812
8	0.2501453016
9	0.2398371237
10	0.2340183676
11	0.2279691646
12	0.2225002321
13	0.2162533394
14	0.2128461922
15	0.2072043718
16	0.2047192932
17	0.2031917311
18	0.2009686633
19	0.1990237978
20	0.1981299707
21	0.197307835
22	0.196348821
23	0.1957345532
24	0.1950479037
25	0.1937870086
26	0.1933178552
27	0.1923509795
28	0.1919755468
29	0.1912465352
30	0.1906550805
31	0.1903622311
32	0.1902196319
33	0.1899955726
34	0.1898835664
35	0.1887272604
36	0.1883913821
37	0.1883284531
38	0.1877145948
39	0.1875797287
40	0.187409672
41	0.1873044044
42	0.1872199259
43	0.1872190719
44	0.1871571256
45	0.1867274681
46	0.1863647171
47	0.1860280316
48	0.1859075201
49	0.1858022057
50	0.1856847243
51	0.1856595481
52	0.1851016695
53	0.1850513989
54	0.1848958138
55	0.1848846179
56	0.1847733253
57	0.1847448148
58	0.1847248563
59	0.1845914994
60	0.1844635591
61	0.184445683
62	0.184441951
63	0.1844311763
64	0.1844289769
65	0.1843102671
66	0.1841263588
67	0.1841184502
68	0.1841008081
69	0.1840859504
70	0.1840682732
71	0.1840513916
72	0.1837838471
73	0.1836322397
74	0.1836122227
75	0.1835509434
76	0.1834628031
77	0.1833876721
78	0.1833845016
79	0.183358717
80	0.1832109236
81	0.1831606061
82	0.1831585237
83	0.1830483542
84	0.1830383048
85	0.1828930149
86	0.1828786017
87	0.1828724948
88	0.1828338881
89	0.18276704
90	0.1827004025
91	0.1825627871
92	0.1825586223
93	0.1823842838
94	0.1823448581
95	0.1823135633
96	0.1823124051
97	0.1822249902
98	0.1822170348
99	0.1822027971
100	0.1821885595
101	0.1821639214
102	0.1821500697
103	0.1821375518
104	0.1820757577
105	0.1820700252
106	0.1820619997
107	0.1820114366
108	0.1820037737
109	0.1818040484
110	0.1817797612
111	0.1817452492
112	0.1816003219
113	0.1815737301
114	0.1815660088
115	0.1815281742
116	0.1815202423
117	0.1815196339
118	0.1813897984
